Bob, 5, Nice, In the sky, big nose, K2, dog1.jpeg, true, labrador, SMALL
Mari, 2, I am nice also, I don't know, small nose, Bubi, dog2.jpeg, true, labrador, MEDIUM
Marti, 10, smart old man, something, nice, K9, dog3.jpeg, false, labrador, SMALL
Bella, 3, under the bridge, nothing, she is a nice girl, K9, dog4.jpeg, false, labrador, SMALL
Bella, 3, under the bridge, nothing, she is a nice girl, K9, dog5.jpeg, false, labrador, SMALL
Bella, 3, under the bridge, nothing, she is a nice girl, K9, dog6.jpeg, false, labrador, SMALL
Bella, 3, under the bridge, nothing, she is a nice girl, K9, dog7.jpeg, false, labrador, SMALL
Bella, 3, under the bridge, nothing, she is a nice girl, K9, dog8.jpeg, false, labrador, SMALL
Bella, 3, under the bridge, nothing, she is a nice girl, K9, dog9.jpeg, false, labrador, SMALL
Bella, 3, under the bridge, nothing, she is a nice girl, K9, dog10.jpeg, false, labrador, SMALL
Bella, 3, under the bridge, nothing, she is a nice girl, K9, dog11.jpeg, false, labrador, SMALL
